Frequency (Hz),Magnitude (dB),Phase (Degrees)
2600.15956316521,13.4932285061813,-33.2883907559008
2606.15354999884,13.494938592705,-33.3825309826002
2612.16135439915,13.4966473170418,-33.477002870055
2618.18300821893,13.4983545759641,-33.5718078509854
2624.21854338438,13.5000602647658,-33.6669473636253
2630.26799189532,13.5017642772453,-33.7624228517067
2636.33138582532,13.5034665056896,-33.8582357644439
2642.40875732189,13.5051668408576,-33.9543875565158
2648.50013860664,13.5068651719629,-34.0508796880484
2654.60556197548,13.5085613866574,-34.1477136245951
2660.72505979875,13.5102553710139,-34.2448908371171
2666.85866452142,13.511947009509,-34.3424128019615
2673.00640866325,13.5136361850059,-34.4402810008396
2679.16832481897,13.5153227787365,-34.5384969208032
2685.34444565845,13.5170066702845,-34.6370620542204
2691.53480392685,13.5186877375669,-34.7359778987495
2697.73943244486,13.5203658568164,-34.8352459573128
2703.95836410878,13.5220409025635,-34.9348677380684
2710.19163189078,13.5237127476181,-35.0348447543809
2716.43926883902,13.5253812630512,-35.1351785247915
2722.70130807785,13.5270463181763,-35.2358705729858
2728.97778280798,13.5287077805313,-35.3369224277618
2735.26872630665,13.5303655158591,-35.4383356229947
2741.57417192782,13.532019388089,-35.5401116976022
2747.89415310233,13.5336692593179,-35.6422521955076
2754.2287033381,13.5353149897905,-35.7447586656014
2760.57785622028,13.5369564378806,-35.8476326617019
2766.94164541145,13.5385934600713,-35.9508757425144
2773.32010465178,13.5402259109356,-36.0544894715885
2779.71326775922,13.5418536431164,-36.1584754172744
2786.1211686297,13.5434765073069,-36.2628351526779
2792.54384123727,13.5450943522304,-36.3675702556129
2798.9813196343,13.5467070246204,-36.4726823085536
2805.43363795165,13.5483143691997,-36.5781728985841
2811.90083039887,13.5499162286611,-36.6840436173474
2818.38293126439,13.5515124436454,-36.7902960609916
2824.87997491564,13.5531028527221,-36.8969318301154
2831.39199579931,13.5546872923677,-37.0039525297119
2837.91902844149,13.5562655969448,-37.1113597691099
2844.46110744785,13.5578375986816,-37.2191551619142
2851.01826750384,13.55940312765,-37.3273403259438
2857.59054337488,13.5609620117447,-37.4359168831686
2864.17796990651,13.5625140766616,-37.544886459644
2870.78058202462,13.564059145876,-37.6542506854437
2877.3984147356,13.5655970406213,-37.7640111945906
2884.03150312653,13.5671275798667,-37.874169624986
2890.6798823654,13.5686505802958,-37.9847276183366
2897.34358770125,13.5701658562838,-38.0956868200797
2904.02265446438,13.5716732198758,-38.2070488793062
2910.71711806653,13.5731724807646,-38.3188154486818
2917.42701400109,13.5746634462677,-38.4309881843657
2924.15237784326,13.5761459213051,-38.5435687459282
2930.89324525025,13.5776197083769,-38.6565587962646
2937.64965196146,13.5790846075401,-38.7699600015085
2944.42163379869,13.5805404163857,-38.8837740309417
2951.20922666631,13.5819869300163,-38.9980025569029
2958.01246655147,13.5834239410224,-39.1126472546931
2964.83138952427,13.5848512394595,-39.2277098024793
2971.66603173795,13.5862686128249,-39.3431918811961
2978.51642942911,13.5876758460343,-39.4590951744441
2985.38261891788,13.589072721398,-39.5754213683868
2992.26463660811,13.590459018598,-39.6921721516443
2999.16251898757,13.5918345146639,-39.8093492151853
3006.07630262815,13.5931989839493,-39.9269542522155
3013.00602418604,13.5945521981082,-40.044988958065
3019.95172040194,13.5958939260709,-40.1634550300713
3026.91342810123,13.5972239340202,-40.2823541674613
3033.89118419419,13.5985419853673,-40.4016880712295
3040.8850256762,13.5998478407281,-40.5214584440143
3047.8949896279,13.6011412578985,-40.6416669899712
3054.92111321543,13.6024219918307,-40.7623154146428
3061.9634336906,13.6036897946088,-40.8834054248274
3069.02198839108,13.6049444154245,-41.0049387284427
3076.09681474063,13.606185600553,-41.126917034389
3083.18795024927,13.6074130933283,-41.2493420524069
3090.29543251351,13.6086266341192,-41.3722154929346
3097.4192992165,13.6098259603044,-41.4955390669603
3104.55958812827,13.6110108062487,-41.6193144858727
3111.71633710594,13.6121809032779,-41.7435434613074
3118.88958409385,13.6133359796548,-41.8682277049918
3126.07936712387,13.6144757605547,-41.993368928585
3133.2857243155,13.6155999680404,-42.1189688435158
3140.50869387613,13.6167083210385,-42.2450291608172
3147.74831410123,13.6178005353142,-42.3715515909572
3155.00462337454,13.6188763234474,-42.4985378436672
3162.27766016829,13.6199353948081,-42.6259896277661
3169.56746304341,13.6209774555319,-42.7539086509815
3176.87407064968,13.6220022084955,-42.8822966197676
3184.19752172604,13.623009353293,-43.0111552391197
3191.53785510067,13.6239985862107,-43.1404862123848
3198.89510969131,13.6249696002039,-43.270291241069
3206.26932450538,13.6259220848718,-43.4005720246414
3213.66053864023,13.6268557264339,-43.5313302603344
3221.06879128335,13.6277702077063,-43.6625676429398
3228.49412171255,13.6286652080768,-43.7942858646027
3235.93656929619,13.6295404034821,-43.9264866146096
3243.3961734934,13.6303954663836,-44.0591715791747
3250.87297385425,13.6312300657435,-44.1923424412216
3258.36701002,13.6320438670019,-44.3260008801607
3265.87832172327,13.6328365320531,-44.460148571664
3273.40694878829,13.6336077192223,-44.594787187435
3280.9529311311,13.6343570832426,-44.7299183949748
3288.51630875974,13.6350842752322,-44.8655438573451
3296.09712177449,13.6357889426713,-45.0016652329261
3303.69541036806,13.6364707293798,-45.1382841751714
3311.31121482582,13.6371292754948,-45.2754023323576
3318.94457552601,13.6377642174482,-45.4130213473318
3326.59553293995,13.638375187945,-45.5511428572527
3334.26412763226,13.6389618159412,-45.6897684933295
3341.95040026105,13.6395237266223,-45.8288998805554
3349.65439157818,13.6400605413823,-45.9685386374375
3357.37614242945,13.6405718778019,-46.1086863757224
3365.11569375481,13.6410573496283,-46.2493447001177
3372.8730865886,13.6415165667546,-46.3905152080082
3380.64836205972,13.641949135199,-46.5321994891698
3388.44156139193,13.6423546570853,-46.6743991254772
3396.25272590399,13.6427327306232,-46.8171156906082
3404.08189700991,13.6430829500888,-46.9603507497434
3411.92911621919,13.6434049058055,-47.1041058592615
3419.79442513699,13.6436981841256,-47.2483825664302
3427.67786546441,13.6439623674117,-47.3931824090931
3435.57947899865,13.6441970340191,-47.5385069153511
3443.49930763329,13.6444017582778,-47.6843576032406
3451.43739335846,13.6445761104758,-47.8307359804063
3459.39377826112,13.644719656842,-47.9776435437698
3467.36850452522,13.6448319595303,-48.125081779194
